SET IDENTITY_INSERT [dbo].[Courses] ON
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (1, N'Название курса 0', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (2, N'Название курса 1', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (3, N'Название курса 2', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (4, N'Название курса 3', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (5, N'Название курса 4', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (6, N'Название курса 5', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (7, N'Название курса 6', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (8, N'Название курса 7', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (9, N'Название курса 8', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (10, N'Название курса 9', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (11, N'Название курса 10', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (12, N'Название курса 11', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (13, N'Название курса 12', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (14, N'Название курса 13', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (15, N'Название курса 14', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (16, N'Название курса 15', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (17, N'Название курса 16', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (18, N'Название курса 17', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (19, N'Название курса 18', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (20, N'Название курса 19', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (21, N'Название курса 20', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (22, N'Название курса 21', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (23, N'Название курса 22', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (24, N'Название курса 23', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (25, N'Название курса 24', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (26, N'Название курса 25', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (27, N'Название курса 26', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (28, N'Название курса 27', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (29, N'Название курса 28', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (30, N'Название курса 29', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (31, N'Название курса 30', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (32, N'Название курса 31', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (33, N'Название курса 32', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (34, N'Название курса 33', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (35, N'Название курса 34', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (36, N'Название курса 35', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (37, N'Название курса 36', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (38, N'Название курса 37', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (39, N'Название курса 38', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (40, N'Название курса 39', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (41, N'Название курса 40', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (42, N'Название курса 41', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (43, N'Название курса 42', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (44, N'Название курса 43', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (45, N'Название курса 44', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (46, N'Название курса 45', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (47, N'Название курса 46', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (48, N'Название курса 47', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (49, N'Название курса 48', CAST(1000.00 AS Decimal(18, 2)))
INSERT INTO [dbo].[Courses] ([Id], [Name], [Price]) VALUES (50, N'Название курса 49', CAST(1000.00 AS Decimal(18, 2)))
SET IDENTITY_INSERT [dbo].[Courses] OFF


SET IDENTITY_INSERT [dbo].[CourseDescription] ON
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (1, N'Короткое описание курса 0', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (2, N'Короткое описание курса 1', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (3, N'Короткое описание курса 2', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (4, N'Короткое описание курса 3', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (5, N'Короткое описание курса 4', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (6, N'Короткое описание курса 5', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (7, N'Короткое описание курса 6', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (8, N'Короткое описание курса 7', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (9, N'Короткое описание курса 8', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (10, N'Короткое описание курса 9', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (11, N'Короткое описание курса 10', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (12, N'Короткое описание курса 11', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (13, N'Короткое описание курса 12', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (14, N'Короткое описание курса 13', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (15, N'Короткое описание курса 14', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (16, N'Короткое описание курса 15', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (17, N'Короткое описание курса 16', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (18, N'Короткое описание курса 17', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (19, N'Короткое описание курса 18', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (20, N'Короткое описание курса 19', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (21, N'Короткое описание курса 20', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (22, N'Короткое описание курса 21', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (23, N'Короткое описание курса 22', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (24, N'Короткое описание курса 23', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (25, N'Короткое описание курса 24', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (26, N'Короткое описание курса 25', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (27, N'Короткое описание курса 26', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (28, N'Короткое описание курса 27', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (29, N'Короткое описание курса 28', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (30, N'Короткое описание курса 29', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (31, N'Короткое описание курса 30', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (32, N'Короткое описание курса 31', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (33, N'Короткое описание курса 32', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (34, N'Короткое описание курса 33', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (35, N'Короткое описание курса 34', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (36, N'Короткое описание курса 35', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (37, N'Короткое описание курса 36', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (38, N'Короткое описание курса 37', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (39, N'Короткое описание курса 38', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (40, N'Короткое описание курса 39', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (41, N'Короткое описание курса 40', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (42, N'Короткое описание курса 41', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (43, N'Короткое описание курса 42', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (44, N'Короткое описание курса 43', N'Длинное описание курса', 10)
INSERT INTO [dbo].[CourseDescription] ([Id], [ShortDescription], [LongDescription], [CourseLength]) VALUES (45, N'Короткое описание курса 44', N'Длинное описание курса', 10)
